protocol_id,link,titles
prot-1936--fk--045,https://swerik-project.github.io/riksdagen-records-pdf/1936/prot-1936--fk--045/prot-1936--fk--045_062,no header
prot-1936--fk--047,https://swerik-project.github.io/riksdagen-records-pdf/1936/prot-1936--fk--047/prot-1936--fk--047_044,no header
prot-1937--ak--019,https://swerik-project.github.io/riksdagen-records-pdf/1937/prot-1937--ak--019/prot-1937--ak--019_057,no header
prot-1937--ak--031,https://swerik-project.github.io/riksdagen-records-pdf/1937/prot-1937--ak--031/prot-1937--ak--031_038,no header
prot-1937--ak--035,https://swerik-project.github.io/riksdagen-records-pdf/1937/prot-1937--ak--035/prot-1937--ak--035_074,no header
prot-1937--fk--041,https://swerik-project.github.io/riksdagen-records-pdf/1937/prot-1937--fk--041/prot-1937--fk--041_006,no header
prot-1938--ak--028,https://swerik-project.github.io/riksdagen-records-pdf/1938/prot-1938--ak--028/prot-1938--ak--028_002,§ 3.
prot-1938--fk--014,https://swerik-project.github.io/riksdagen-records-pdf/1938/prot-1938--fk--014/prot-1938--fk--014_008,no header
prot-1939--ak--012,https://swerik-project.github.io/riksdagen-records-pdf/1939/prot-1939--ak--012/prot-1939--ak--012_026,no header
prot-1939--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1939/prot-1939--ak--026/prot-1939--ak--026_017,no header
